document_id,item_order,description,quantity,unit_price,line_total
INV-0001,1,Herbal tea,2,34.94,69.88
INV-0001,2,Cleaning cloths,4,43.73,174.92
INV-0001,3,Recycled notebooks,4,35.24,140.96
INV-0002,1,Cable clips,2,2.74,5.48
INV-0002,2,Gel pen set,1,16.94,16.94
INV-0002,3,Recycled notebooks,3,10.86,32.58
INV-0002,4,Cleaning cloths,1,4.74,4.74
INV-0003,1,Canvas tote,1,53.52,53.52
INV-0003,2,USB adapter,4,38.06,152.24
INV-0003,3,Coffee beans,3,56.38,169.14
INV-0003,4,Desk organizer,3,54.61,163.83
INV-0003,5,Gel pen set,4,47.1,188.4
INV-0004,1,Cleaning cloths,2,30.95,61.9
INV-0004,2,Cable clips,4,52.48,209.92
INV-0004,3,Canvas tote,3,49.32,147.96
INV-0004,4,Archive folders,3,57.1,171.3
INV-0005,1,USB adapter,2,49.22,98.44
INV-0005,2,Archive folders,2,27.92,55.84
INV-0005,3,Canvas tote,4,7.55,30.2
INV-0005,4,Shipping labels,2,27.65,55.3
INV-0006,1,Archive folders,4,23.0,92.0
INV-0006,2,Shipping labels,1,12.92,12.92
INV-0006,3,Herbal tea,3,52.42,157.26
INV-0007,1,Gel pen set,2,32.11,64.22
INV-0007,2,Desk organizer,1,23.8,23.8
INV-0007,3,Shipping labels,2,13.1,26.2
INV-0008,1,Shipping labels,2,52.2,104.4
INV-0008,2,Cleaning cloths,3,5.89,17.67
INV-0008,3,Herbal tea,3,18.41,55.23
INV-0008,4,Coffee beans,4,52.54,210.16
INV-0009,1,USB adapter,1,2.91,2.91
INV-0009,2,Shipping labels,3,50.75,152.25
INV-0009,3,Herbal tea,3,9.53,28.59
INV-0009,4,Archive folders,2,30.23,60.46
INV-0010,1,Cable clips,1,13.54,13.54
INV-0010,2,Herbal tea,4,45.48,181.92
INV-0010,3,USB adapter,4,31.94,127.76
INV-0010,4,Recycled notebooks,3,33.03,99.09
INV-0010,5,Granola cup,4,29.62,118.48
INV-0011,1,Archive folders,2,42.53,85.06
INV-0011,2,Coffee beans,3,22.04,66.12
INV-0011,3,Gel pen set,1,8.64,8.64
INV-0012,1,Cleaning cloths,3,34.06,102.18
INV-0012,2,Archive folders,3,57.97,173.91
INV-0013,1,USB adapter,2,2.87,5.74
INV-0013,2,Cable clips,2,42.65,85.3
INV-0013,3,Gel pen set,3,38.97,116.91
INV-0014,1,Herbal tea,3,4.09,12.27
INV-0014,2,USB adapter,3,29.18,87.54
INV-0014,3,Gel pen set,3,47.11,141.33
INV-0014,4,Granola cup,3,39.21,117.63
INV-0015,1,Granola cup,1,21.65,21.65
INV-0015,2,Coffee beans,3,47.31,141.93
INV-0015,3,Desk organizer,1,13.99,13.99
INV-0015,4,USB adapter,3,45.5,136.5
INV-0015,5,Herbal tea,2,44.11,88.22
INV-0016,1,Archive folders,1,57.72,57.72
INV-0016,2,Canvas tote,4,26.17,104.68
INV-0016,3,Herbal tea,4,20.39,81.56
INV-0016,4,Cable clips,4,22.65,90.6
INV-0016,5,Desk organizer,3,34.02,102.06
INV-0017,1,Granola cup,2,39.53,79.06
INV-0017,2,Archive folders,1,43.23,43.23
INV-0018,1,Desk organizer,3,17.29,51.87
INV-0018,2,Archive folders,1,16.3,16.3
INV-0018,3,Shipping labels,3,25.58,76.74
INV-0018,4,Cable clips,4,16.02,64.08
INV-0019,1,Granola cup,3,9.57,28.71
INV-0019,2,Herbal tea,4,55.52,222.08
INV-0019,3,Cable clips,2,21.91,43.82
INV-0019,4,Canvas tote,4,28.73,114.92
INV-0019,5,Cleaning cloths,1,54.47,54.47
INV-0020,1,Archive folders,3,9.15,27.45
INV-0020,2,Coffee beans,3,43.62,130.86
INV-0020,3,Gel pen set,3,18.76,56.28
INV-0021,1,USB adapter,3,39.53,118.59
INV-0021,2,Granola cup,4,47.47,189.88
INV-0021,3,Cleaning cloths,4,17.01,68.04
INV-0021,4,Coffee beans,4,36.08,144.32
INV-0022,1,Archive folders,2,36.02,72.04
INV-0022,2,Coffee beans,3,19.47,58.41
INV-0022,3,Recycled notebooks,1,21.26,21.26
INV-0023,1,Coffee beans,4,37.3,149.2
INV-0023,2,Canvas tote,4,39.8,159.2
INV-0023,3,Granola cup,4,56.37,225.48
INV-0023,4,Gel pen set,1,33.33,33.33
INV-0023,5,Recycled notebooks,3,12.98,38.94
INV-0024,1,Cable clips,2,55.78,111.56
INV-0024,2,Cleaning cloths,4,7.65,30.6
INV-0024,3,Granola cup,3,24.66,73.98
INV-0025,1,Shipping labels,2,22.17,44.34
INV-0025,2,Cable clips,1,41.41,41.41
INV-0025,3,Canvas tote,3,16.51,49.53
INV-0025,4,Coffee beans,2,36.68,73.36
INV-0026,1,Desk organizer,4,55.86,223.44
INV-0026,2,Archive folders,2,23.66,47.32
INV-0027,1,Archive folders,3,36.9,110.7
INV-0027,2,USB adapter,1,46.59,46.59
INV-0027,3,Cleaning cloths,4,36.26,145.04
INV-0028,1,Archive folders,2,29.5,59.0
INV-0028,2,Coffee beans,1,7.23,7.23
INV-0029,1,Granola cup,2,30.27,60.54
INV-0029,2,Shipping labels,2,31.0,62.0
INV-0029,3,Cleaning cloths,1,36.35,36.35
INV-0030,1,USB adapter,3,36.39,109.17
INV-0030,2,Canvas tote,2,10.7,21.4
INV-0030,3,Desk organizer,2,33.76,67.52
INV-0030,4,Herbal tea,2,25.17,50.34
INV-0031,1,Granola cup,2,52.37,104.74
INV-0031,2,Canvas tote,3,7.7,23.1
INV-0031,3,Herbal tea,4,33.76,135.04
INV-0031,4,Cleaning cloths,3,11.57,34.71
INV-0032,1,Recycled notebooks,2,24.58,49.16
INV-0032,2,Gel pen set,3,19.37,58.11
INV-0032,3,USB adapter,2,24.99,49.98
INV-0033,1,USB adapter,3,49.55,148.65
INV-0033,2,Shipping labels,4,50.71,202.84
INV-0033,3,Archive folders,4,14.29,57.16
INV-0034,1,Archive folders,1,35.16,35.16
INV-0034,2,Cleaning cloths,1,29.14,29.14
INV-0034,3,USB adapter,4,50.89,203.56
INV-0034,4,Coffee beans,4,23.04,92.16
INV-0035,1,Cable clips,4,6.49,25.96
INV-0035,2,Cleaning cloths,3,47.55,142.65
INV-0035,3,Canvas tote,1,18.08,18.08
INV-0036,1,Cable clips,2,18.3,36.6
INV-0036,2,Desk organizer,3,11.86,35.58
INV-0036,3,Granola cup,3,53.94,161.82
INV-0036,4,Gel pen set,3,42.75,128.25
INV-0037,1,USB adapter,1,10.63,10.63
INV-0037,2,Desk organizer,1,29.85,29.85
INV-0037,3,Gel pen set,4,56.0,224.0
INV-0038,1,Herbal tea,3,11.25,33.75
INV-0038,2,Granola cup,2,21.55,43.1
INV-0038,3,Recycled notebooks,1,4.46,4.46
INV-0039,1,Coffee beans,1,22.83,22.83
INV-0039,2,Cable clips,1,19.13,19.13
INV-0039,3,Granola cup,2,22.18,44.36
INV-0039,4,Canvas tote,3,38.95,116.85
INV-0039,5,Shipping labels,4,18.62,74.48
INV-0040,1,Coffee beans,4,18.99,75.96
INV-0040,2,Granola cup,4,56.04,224.16
INV-0040,3,USB adapter,2,43.77,87.54
RCT-0001,1,Cable clips,1,14.46,14.46
RCT-0001,2,Shipping labels,2,11.02,22.04
RCT-0002,1,Granola cup,3,14.29,42.87
RCT-0002,2,USB adapter,1,12.76,12.76
RCT-0003,1,Cable clips,3,5.84,17.52
RCT-0003,2,Shipping labels,2,16.06,32.12
RCT-0003,3,Gel pen set,3,4.3,12.9
RCT-0003,4,Coffee beans,3,9.38,28.14
RCT-0003,5,Desk organizer,2,12.46,24.92
RCT-0004,1,Coffee beans,3,14.97,44.91
RCT-0004,2,Cable clips,3,3.74,11.22
RCT-0005,1,Desk organizer,3,13.75,41.25
RCT-0005,2,Cleaning cloths,3,11.92,35.76
RCT-0005,3,Coffee beans,4,15.16,60.64
RCT-0005,4,USB adapter,3,12.18,36.54
RCT-0006,1,Cleaning cloths,2,15.85,31.7
RCT-0006,2,Gel pen set,2,8.76,17.52
RCT-0006,3,Cable clips,4,14.22,56.88
RCT-0006,4,Coffee beans,3,4.44,13.32
RCT-0007,1,Cable clips,4,6.56,26.24
RCT-0007,2,Recycled notebooks,4,10.9,43.6
RCT-0007,3,Coffee beans,2,6.22,12.44
RCT-0007,4,Desk organizer,2,12.85,25.7
RCT-0008,1,Cable clips,3,3.22,9.66
RCT-0008,2,Desk organizer,2,12.57,25.14
RCT-0008,3,Coffee beans,1,8.57,8.57
RCT-0008,4,Recycled notebooks,1,12.24,12.24
RCT-0009,1,Herbal tea,4,16.3,65.2
RCT-0009,2,USB adapter,3,6.91,20.73
RCT-0009,3,Cleaning cloths,4,12.46,49.84
RCT-0009,4,Coffee beans,4,14.74,58.96
RCT-0010,1,Recycled notebooks,2,15.26,30.52
RCT-0010,2,Desk organizer,2,17.16,34.32
RCT-0011,1,Shipping labels,3,12.61,37.83
RCT-0011,2,Desk organizer,1,12.35,12.35
RCT-0012,1,Gel pen set,3,9.76,29.28
RCT-0012,2,Recycled notebooks,4,9.21,36.84
