field,document_type,expected_count,extracted_count,correct_count,accuracy,precision,recall,F1,missing_count,incorrect_count
currency,invoice,44,44,44,1.0,1.0,1.0,1.0,0,0
customer_address,invoice,44,30,11,0.25,0.36666666666666664,0.25,0.29729729729729726,14,19
customer_name,invoice,44,30,11,0.25,0.36666666666666664,0.25,0.29729729729729726,14,19
discount,invoice,0,0,0,0.0,0.0,0.0,0.0,0,0
due_date,invoice,44,44,44,1.0,1.0,1.0,1.0,0,0
invoice_date,invoice,44,44,44,1.0,1.0,1.0,1.0,0,0
invoice_number,invoice,44,44,44,1.0,1.0,1.0,1.0,0,0
payment_terms,invoice,0,0,0,0.0,0.0,0.0,0.0,0,0
purchase_order,invoice,0,0,0,0.0,0.0,0.0,0.0,0,0
shipping,invoice,0,0,0,0.0,0.0,0.0,0.0,0,0
subtotal,invoice,44,38,38,0.8636363636363636,1.0,0.8636363636363636,0.9268292682926829,6,0
tax_amount,invoice,44,43,43,0.9772727272727273,1.0,0.9772727272727273,0.9885057471264368,1,0
tax_rate,invoice,0,0,0,0.0,0.0,0.0,0.0,0,0
total_amount,invoice,44,44,44,1.0,1.0,1.0,1.0,0,0
vendor_address,invoice,44,44,13,0.29545454545454547,0.29545454545454547,0.29545454545454547,0.29545454545454547,0,31
vendor_email,invoice,0,0,0,0.0,0.0,0.0,0.0,0,0
vendor_name,invoice,44,44,34,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0,10
vendor_phone,invoice,0,0,0,0.0,0.0,0.0,0.0,0,0
cashier,receipt,0,0,0,0.0,0.0,0.0,0.0,0,0
currency,receipt,40,40,40,1.0,1.0,1.0,1.0,0,0
last_four_digits,receipt,0,0,0,0.0,0.0,0.0,0.0,0,0
merchant_address,receipt,40,40,14,0.35,0.35,0.35,0.35,0,26
merchant_name,receipt,40,40,34,0.85,0.85,0.85,0.85,0,6
merchant_phone,receipt,0,0,0,0.0,0.0,0.0,0.0,0,0
payment_method,receipt,0,0,0,0.0,0.0,0.0,0.0,0,0
receipt_number,receipt,40,40,40,1.0,1.0,1.0,1.0,0,0
subtotal,receipt,40,39,39,0.975,1.0,0.975,0.9873417721518987,1,0
tax_amount,receipt,40,36,36,0.9,1.0,0.9,0.9473684210526316,4,0
total_amount,receipt,40,40,40,1.0,1.0,1.0,1.0,0,0
transaction_date,receipt,40,40,40,1.0,1.0,1.0,1.0,0,0
transaction_time,receipt,0,0,0,0.0,0.0,0.0,0.0,0,0
