group_type,group,variant_count,expected_rows,predicted_rows,matched_rows,row_precision,row_recall,row_f1,description_accuracy,quantity_accuracy,unit_price_accuracy,line_total_accuracy,complete_line_item_accuracy,documents_with_no_predicted_items,documents_with_perfect_line_item_extraction
all,all,84,296,233,233,1.0,0.7871621621621622,0.8809073724007561,0.7061507936507936,0.875,0.8690476190476191,0.8690476190476191,0.5974206349206348,7,34
document_type,invoice,44,156,123,123,1.0,0.7884615384615384,0.8817204301075269,0.6026515151515152,0.8295454545454546,0.8181818181818182,0.8181818181818182,0.5087121212121212,4,14
document_type,receipt,40,140,110,110,1.0,0.7857142857142857,0.88,0.82,0.925,0.925,0.925,0.6950000000000001,3,20
quality_group,clean,21,74,65,65,1.0,0.8783783783783784,0.935251798561151,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9047619047619048,1,18
quality_group,degraded,63,222,168,168,1.0,0.7567567567567568,0.8615384615384616,0.624074074074074,0.8492063492063492,0.8412698412698413,0.8412698412698413,0.49497354497354495,6,16
template,invoice_1,8,28,25,25,1.0,0.8928571428571429,0.9433962264150945,0.7083333333333333,0.875,0.875,0.875,0.6041666666666666,0,3
template,invoice_2,12,40,33,33,1.0,0.825,0.9041095890410958,0.7222222222222223,1.0,1.0,1.0,0.6041666666666666,0,5
template,invoice_3,12,40,24,24,1.0,0.6,0.7499999999999999,0.5138888888888888,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4027777777777777,3,3
template,invoice_4,4,16,12,12,1.0,0.75,0.8571428571428571,0.5,0.75,0.75,0.75,0.5,1,1
template,invoice_5,8,32,29,29,1.0,0.90625,0.9508196721311475,0.5020833333333332,0.8125,0.75,0.75,0.43333333333333335,0,2
template,receipt_1,8,28,22,22,1.0,0.7857142857142857,0.88,1.0,1.0,1.0,1.0,0.775,0,2
template,receipt_2,24,84,62,62,1.0,0.7380952380952381,0.8493150684931507,0.75,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.6166666666666667,2,12
template,receipt_4,8,28,26,26,1.0,0.9285714285714286,0.962962962962963,0.85,0.875,0.875,0.875,0.85,1,6
file_format,digital_pdf,21,74,65,65,1.0,0.8783783783783784,0.935251798561151,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9047619047619048,1,18
file_format,jpg,21,74,58,58,1.0,0.7837837837837838,0.8787878787878788,0.5992063492063492,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.43015873015873013,1,4
file_format,png,21,74,53,53,1.0,0.7162162162162162,0.8346456692913385,0.6825396825396824,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.5476190476190477,3,7
file_format,scanned_pdf,21,74,57,57,1.0,0.7702702702702703,0.8702290076335879,0.5904761904761905,0.8809523809523809,0.8571428571428571,0.8571428571428571,0.5071428571428572,2,5
quality_condition,clean,21,74,65,65,1.0,0.8783783783783784,0.935251798561151,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9047619047619048,1,18
quality_condition,jpeg_compression,10,35,29,29,1.0,0.8285714285714286,0.90625,0.7416666666666666,1.0,1.0,1.0,0.6333333333333333,0,4
quality_condition,light_noise,10,35,32,32,1.0,0.9142857142857143,0.955223880597015,0.6166666666666666,1.0,1.0,1.0,0.5633333333333332,0,3
quality_condition,lower_contrast,9,32,25,25,1.0,0.78125,0.8771929824561403,0.46481481481481485,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.4462962962962963,1,2
quality_condition,mild_blur,8,28,24,24,1.0,0.8571428571428571,0.923076923076923,0.53125,1.0,1.0,1.0,0.4208333333333333,0,1
quality_condition,mild_shadow,9,31,17,17,1.0,0.5483870967741935,0.7083333333333333,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4962962962962963,4,3
quality_condition,perspective,8,28,22,22,1.0,0.7857142857142857,0.88,0.7916666666666666,1.0,1.0,1.0,0.6083333333333334,0,2
quality_condition,slight_rotation,9,33,19,19,1.0,0.5757575757575758,0.7307692307692308,0.6629629629629629,0.5,0.4444444444444444,0.4444444444444444,0.2777777777777778,1,1
