document_id,variant_id,document_type,template,quality_condition,quality_group,file_format,extraction_method,cer,wer
INV-0002,INV-0002-image_jpg,invoice,invoice_2,mild_shadow,degraded,jpg,ocr,1.1063829787234043,1.0
INV-0004,INV-0004-image_jpg,invoice,invoice_4,light_noise,degraded,jpg,ocr,1.072538860103627,0.8064516129032258
INV-0008,INV-0008-image_jpg,invoice,invoice_3,mild_blur,degraded,jpg,ocr,1.0260416666666667,0.7419354838709677
INV-0011,INV-0011-image_jpg,invoice,invoice_1,light_noise,degraded,jpg,ocr,1.2767295597484276,1.0
INV-0013,INV-0013-image_jpg,invoice,invoice_3,lower_contrast,degraded,jpg,ocr,1.3076923076923077,0.8518518518518519
INV-0015,INV-0015-image_jpg,invoice,invoice_5,mild_blur,degraded,jpg,ocr,0.9719626168224299,0.7222222222222222
INV-0027,INV-0027-image_jpg,invoice,invoice_2,lower_contrast,degraded,jpg,ocr,1.1904761904761905,0.9230769230769231
INV-0031,INV-0031-image_jpg,invoice,invoice_1,slight_rotation,degraded,jpg,ocr,1.2245989304812834,0.9354838709677419
INV-0037,INV-0037-image_jpg,invoice,invoice_2,mild_shadow,degraded,jpg,ocr,1.2777777777777777,1.1481481481481481
INV-0038,INV-0038-image_jpg,invoice,invoice_3,slight_rotation,degraded,jpg,ocr,1.5,1.0
INV-0040,INV-0040-image_jpg,invoice,invoice_5,perspective,degraded,jpg,ocr,1.2784810126582278,0.8846153846153846
INV-0002,INV-0002-digital_pdf,invoice,invoice_2,clean,clean,digital_pdf,embedded_text,1.1063829787234043,1.0
INV-0004,INV-0004-digital_pdf,invoice,invoice_4,clean,clean,digital_pdf,embedded_text,1.1295336787564767,1.096774193548387
INV-0008,INV-0008-digital_pdf,invoice,invoice_3,clean,clean,digital_pdf,embedded_text,1.0677083333333333,1.0
INV-0011,INV-0011-digital_pdf,invoice,invoice_1,clean,clean,digital_pdf,embedded_text,1.3270440251572326,1.2222222222222223
INV-0013,INV-0013-digital_pdf,invoice,invoice_3,clean,clean,digital_pdf,embedded_text,1.3782051282051282,1.1481481481481481
INV-0015,INV-0015-digital_pdf,invoice,invoice_5,clean,clean,digital_pdf,embedded_text,1.0186915887850467,0.9444444444444444
INV-0027,INV-0027-digital_pdf,invoice,invoice_2,clean,clean,digital_pdf,embedded_text,1.2321428571428572,1.2692307692307692
INV-0031,INV-0031-digital_pdf,invoice,invoice_1,clean,clean,digital_pdf,embedded_text,1.0962566844919786,1.032258064516129
INV-0037,INV-0037-digital_pdf,invoice,invoice_2,clean,clean,digital_pdf,embedded_text,1.2777777777777777,1.1851851851851851
INV-0038,INV-0038-digital_pdf,invoice,invoice_3,clean,clean,digital_pdf,embedded_text,1.3670886075949367,1.2692307692307692
INV-0040,INV-0040-digital_pdf,invoice,invoice_5,clean,clean,digital_pdf,embedded_text,1.3544303797468353,1.3076923076923077
INV-0002,INV-0002-image_png,invoice,invoice_2,light_noise,degraded,png,ocr,1.053191489361702,0.6875
INV-0004,INV-0004-image_png,invoice,invoice_4,lower_contrast,degraded,png,ocr,1.077720207253886,0.8387096774193549
INV-0008,INV-0008-image_png,invoice,invoice_3,slight_rotation,degraded,png,ocr,1.2083333333333333,0.9032258064516129
INV-0011,INV-0011-image_png,invoice,invoice_1,lower_contrast,degraded,png,ocr,1.2767295597484276,0.9259259259259259
INV-0013,INV-0013-image_png,invoice,invoice_3,mild_blur,degraded,png,ocr,1.3076923076923077,0.7407407407407407
INV-0015,INV-0015-image_png,invoice,invoice_5,slight_rotation,degraded,png,ocr,1.1495327102803738,0.8333333333333334
INV-0027,INV-0027-image_png,invoice,invoice_2,mild_blur,degraded,png,ocr,1.1904761904761905,0.9230769230769231
INV-0031,INV-0031-image_png,invoice,invoice_1,perspective,degraded,png,ocr,1.0374331550802138,0.7096774193548387
INV-0037,INV-0037-image_png,invoice,invoice_2,light_noise,degraded,png,ocr,1.2160493827160495,0.7777777777777778
INV-0038,INV-0038-image_png,invoice,invoice_3,perspective,degraded,png,ocr,1.3101265822784811,0.9230769230769231
INV-0040,INV-0040-image_png,invoice,invoice_5,jpeg_compression,degraded,png,ocr,1.2784810126582278,0.9230769230769231
RCT-0002,RCT-0002-image_jpg,receipt,receipt_2,jpeg_compression,degraded,jpg,ocr,1.031496062992126,0.5714285714285714
RCT-0004,RCT-0004-image_jpg,receipt,receipt_4,mild_shadow,degraded,jpg,ocr,1.0793650793650793,1.0
RCT-0006,RCT-0006-image_jpg,receipt,receipt_2,light_noise,degraded,jpg,ocr,0.717391304347826,0.40625
RCT-0010,RCT-0010-image_jpg,receipt,receipt_2,mild_blur,degraded,jpg,ocr,0.9854014598540146,0.7619047619047619
RCT-0014,RCT-0014-image_jpg,receipt,receipt_2,perspective,degraded,jpg,ocr,0.6121495327102804,0.3333333333333333
