document_id,variant_id,item_order,description,quantity,unit_price,line_total,raw_text,confidence
INV-0001,INV-0001-image_jpg,1,Herbal tea,2.0,34.94,69.88,Herbal tea | 2 | $34.94 | $69.88,0.95
INV-0001,INV-0001-image_jpg,2,Cleaning cloths,4.0,43.73,174.92,Cleaning cloths | 4 | $43.73 | $174.92,0.95
INV-0001,INV-0001-image_jpg,3,Recycled notebooks,4.0,35.24,140.96,Recycled notebooks | 4 | $35.24 | $140.96,0.95
INV-0003,INV-0003-image_jpg,1,Canvastote,4.0,38.06,152.24,Canvastote | 4 | $38.06 | $152.24,0.95
INV-0003,INV-0003-image_jpg,2,USBadapter,3.0,56.38,169.14,USBadapter | 3 | $56.38 | $169.14,0.95
INV-0003,INV-0003-image_jpg,3,Coffeebeans,3.0,54.61,163.83,Coffeebeans | 3 | $54.61 | $163.83,0.95
INV-0003,INV-0003-image_jpg,4,Desk organizer,4.0,47.1,188.4,Desk organizer | 4 | $47.10 | $188.40,0.95
INV-0005,INV-0005-image_jpg,1,USBadapter,2.0,49.22,98.44,USBadapter | 2 | $49.22 | $98.44,0.95
INV-0005,INV-0005-image_jpg,2,Archivefolders,2.0,27.92,55.84,Archivefolders | 2 | $27.92 | $55.84,0.95
INV-0006,INV-0006-image_jpg,1,Archive folders,4.0,23.0,92.0,Archive folders | 4 | $23.00 | $92.00,0.95
INV-0007,INV-0007-image_jpg,1,Gel pen set,2.0,32.11,64.22,Gel pen set | 2 | $32.11 | $64.22,0.95
INV-0007,INV-0007-image_jpg,2,Desk organizer,1.0,23.8,23.8,Desk organizer | 1 | $23.80 | $23.80,0.95
INV-0009,INV-0009-image_jpg,1,USB adapter,1.0,2.91,2.91,USB adapter | 1 | $2.91 | $2.91,0.95
INV-0010,INV-0010-image_jpg,1,Cable clips,4.0,45.48,181.92,Cable clips | 4 | $45.48 | $181.92,0.95
INV-0010,INV-0010-image_jpg,2,Herbaltea,4.0,31.94,127.76,Herbaltea | 4 | $31.94 | $127.76,0.95
INV-0010,INV-0010-image_jpg,3,USB adapter,3.0,33.03,99.09,USB adapter | 3 | $33.03 | $99.09,0.95
INV-0010,INV-0010-image_jpg,4,Recycled notebooks,4.0,29.62,118.48,Recycled notebooks | 4 | $29.62 | $118.48,0.95
INV-0012,INV-0012-image_jpg,1,Cleaning cloths,3.0,34.06,102.18,Cleaning cloths | 3 | $34.06 | $102.18,0.95
INV-0012,INV-0012-image_jpg,2,Archivefolders,3.0,57.97,173.91,Archivefolders | 3 | $57.97 | $173.91,0.95
INV-0014,INV-0014-image_jpg,1,Herbal tea,3.0,4.09,12.27,Herbal tea | 3 | $4.09 | $12.27,0.95
INV-0014,INV-0014-image_jpg,2,USBadapter,3.0,29.18,87.54,USBadapter | 3 | $29.18 | $87.54,0.95
INV-0014,INV-0014-image_jpg,3,Gel pen set,3.0,47.11,141.33,Gel pen set | 3 | $47.11 | $141.33,0.95
INV-0014,INV-0014-image_jpg,4,Granola cup,3.0,39.21,117.63,Granola cup | 3 | $39.21 | $117.63,0.95
INV-0016,INV-0016-image_jpg,1,Archive folders,1.0,57.72,57.72,Archive folders | 1 | $57.72 | $57.72,0.95
INV-0016,INV-0016-image_jpg,2,Canvas tote,4.0,26.17,104.68,Canvas tote | 4 | $26.17 | $104.68,0.95
INV-0016,INV-0016-image_jpg,3,Herbal tea,4.0,20.39,81.56,Herbal tea | 4 | $20.39 | $81.56,0.95
INV-0016,INV-0016-image_jpg,4,Cable clips,4.0,22.65,90.6,Cable clips | 4 | $22.65 | $90.60,0.95
